Title,Year,Genre,Rating,Director,Cast,Votes,Description
The Idea of You,2023,"Comedy, Drama, Romance",6.4,Michael Showalter,"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo",28744,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
Kingdom of the Planet of the Apes,2023,"Action, Adventure, Sci-Fi",7.3,Wes Ball,"Owen Teague, Freya Allan, Kevin Durand, Peter Macon",22248,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
Unfrosted,2023,"Biography, Comedy, History",5.5,Jerry Seinfeld,"Isaac Bae, Jerry Seinfeld, Chris Rickett, Rachael Harris",18401,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever."
The Fall Guy,2023,"Action, Comedy, Drama",7.3,David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham",38953,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.
Challengers,2023,"Drama, Romance, Sport",7.7,Luca Guadagnino,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling",32517,"Tashi, a former tennis prodigy turned coach, turned her husband into a champion. But to overcome a losing streak, he needs to face his ex-best friend and Tashi's ex-boyfriend."
Abigail,2023,"Horror, Thriller",6.8,Matt Bettinelli-Olpin,"Tyler Gillett, Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett",27284,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Civil War,2023,"Action, Adventure, Thriller",7.5,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Nick Offerman",64014,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
Anyone But You,2023,"Comedy, Romance",6.1,Will Gluck,"Sydney Sweeney, Glen Powell, Alexandra Shipp, Mia Artemis",82215,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
The Ministry of Ungentlemanly Warfare,2023,"Action, Drama, War",7,Guy Ritchie,"Henry Cavill, Alan Ritchson, Alex Pettyfer, Eiza González",21084,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Dune: Part Two,2023,"Action, Adventure, Drama",8.7,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem",401659,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Furiosa: A Mad Max Saga,2023,"Action, Adventure, Sci-Fi",8.3,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Charlee Fraser, Lachy Hulme",259,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Gojira -1.0,2023,"Action, Adventure, Drama",8,Takashi Yamazaki,"Minami Hamabe, Ryunosuke Kamiki, Sakura Andô, Rikako Miura",71109,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
Ghostbusters: Frozen Empire,2023,"Adventure, Comedy, Fantasy",6.2,Gil Kenan,"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace",39558,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Love Lies Bleeding,2023,"Action, Adventure, Crime",6.8,Rose Glass,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian",20636,"Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas."
The Judge,2023,"Crime, Drama, Mystery",7.4,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",204222,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family."
Mother of the Bride,2023,"Comedy, Drama, Romance",4.9,Mark Waters,"Brooke Shields, Miranda Cosgrove, Benjamin Bratt, Rachael Harris",5081,Lana's daughter Emma returns from London and announces that she's getting married next month. Things become more complicated when Lana learns that the man who stole Emma's heart is the son of the man who broke hers years ago.
IF,2023,"Animation, Comedy, Drama",6.8,John Krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski, Phoebe Waller-Bridge",906,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Late Night with the Devil,2023,Horror,7.1,Cameron Cairnes,"Colin Cairnes, David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi",43902,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms."
Laapataa Ladies,2023,"Comedy, Drama",8.5,Kiran Rao,"Nitanshi Goel, Pratibha Ranta, Sparsh Srivastav, Savita Malviya",20957,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments."
War for the Planet of the Apes,2023,"Action, Adventure, Drama",7.4,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",288425,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
Monkey Man,2023,"Action, Thriller",7,Dev Patel,"Dev Patel, Sharlto Copley, Pitobash, Jatin Malik",41857,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.
Shaitaan,2023,"Horror, Thriller",6.8,Vikas Bahl,"Ajay Devgn, Madhavan, Jyotika, Janki Bodiwala",41863,"A family's getaway turns terrifying when an intruder possesses the teen daughter's body, putting her at the mercy of his increasingly sinister commands."
Tarot,2023,Horror,5,Spenser Cohen,"Anna Halberg, Avantika, Jacob Batalon, Olwen Fouéré, Harriet Slater",3139,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death."
Godzilla x Kong: The New Empire,2023,"Action, Adventure, Fantasy",6.4,Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle",50012,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Poor Things,2023,"Comedy, Drama, Romance",7.9,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef",260730,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
Arcadian,2023,"Action, Horror, Thriller",5.5,Benjamin Brewer,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins, Sadie Soverall",6989,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.
Bullet Train,2023,"Action, Comedy, Thriller",7.3,David Leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry",433085,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
Star Wars: Episode I - The Phantom Menace,2023,"Action, Adventure, Fantasy",6.5,George Lucas,"Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd",859444,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory."
Turtles All the Way Down,2023,"Drama, Romance",6.7,Hannah Marks,"Isabela Merced, Cree, Judy Reyes, Felix Mallard",2491,A teenager with OCD tries to solve a mystery surrounding a fugitive billionaire.
Rise of the Planet of the Apes,2023,"Action, Drama, Sci-Fi",7.6,Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",565131,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
Oppenheimer,2023,"Biography, Drama, History",8.3,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.",738405,The story of American scientistJ. Robert Oppenheimerand his role in the development of the atomic bomb.
Planet of the Apes,2023,"Action, Adventure, Sci-Fi",5.7,Tim Burton,"Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan",230536,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans."
Dawn of the Planet of the Apes,2023,"Action, Adventure, Drama",7.6,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",474347,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.
The Iron Claw,2023,"Biography, Drama, Sport",7.7,Sean Durkin,"Zac Efron, Jeremy Allen White, Harris Dickinson, Maura Tierney",62061,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s."
Back to Black,2023,"Biography, Drama, Music",6.6,Sam Taylor-Johnson,"Marisa Abela, Eddie Marsan, Jack O'Connell, Lesley Manville",6608,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time."
The Beekeeper,2023,"Action, Thriller",6.4,David Ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson",91835,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers."""
Road House,2023,"Action, Thriller",6.2,Doug Liman,"Jake Gyllenhaal, Daniela Melchior, Conor McGregor, Billy Magnussen",120266,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Argylle,2023,"Action, Comedy, Thriller",5.7,Matthew Vaughn,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston",69537,"A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real time."
The Roast of Tom Brady,2023,"Documentary, Comedy",7.5,Tom Brady,"Kevin Hart, Jeffrey Ross, Drew Bledsoe",2870,"Tom Brady faces the heat in this livestreamed, star-studded roast hosted by Kevin Hart."
Miller's Girl,2023,"Comedy, Drama",5.2,Jade Halley Bartlett,"Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon",11405,A creative writing assignment yields complex results between a teacher and his talented student.
Dune,2023,"Action, Adventure, Drama",8,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac",863583,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Barbarian,2023,"Horror, Mystery, Thriller",7,Zach Cregger,"Georgina Campbell, Bill Skarsgård, Justin Long, Matthew Patrick Davis",185154,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.
The Holdovers,2023,"Comedy, Drama",7.9,Alexander Payne,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston",143219,A cranky history teacher at a prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.
Mad Max: Fury Road,2023,"Action, Adventure, Sci-Fi",8.1,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",1089658,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
The Garfield Movie,2023,"Animation, Adventure, Comedy",6.1,Mark Dindal,"Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames",1479,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist."
Rebel Moon - Part Two: The Scargiver,2023,"Action, Adventure, Drama",5.2,Zack Snyder,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman",40001,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion."
The Gentlemen,2023,"Action, Crime",7.8,Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong",403155,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Kung Fu Panda 4,2023,"Animation, Action, Adventure",6.3,Mike Mitchell,"Stephanie Stine, Jack Black, Awkwafina, Viola Davis, Dustin Hoffman",37431,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
The Zone of Interest,2023,"Drama, History, War",7.4,Jonathan Glazer,"Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte",88597,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.
The Godfather,2023,"Crime, Drama",9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",2017131,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Immaculate,2023,Horror,5.9,Michael Mohan,"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli",23417,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets."
Planet of the Apes,2023,"Adventure, Sci-Fi",8,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans",195178,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
Pamyo,2023,"Horror, Mystery, Thriller",7,Jae-hyun Jang,"Kim Go-eun, Choi Min-sik, Lee Do-hyun, Yoo Hae-jin",6732,The process of excavating an ominous grave unleashes dreadful consequences buried underneath.
Barbie,2023,"Adventure, Comedy, Fantasy",6.8,Greta Gerwig,"Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon",540698,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
Titanic,2023,"Drama, Romance",7.9,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",1283223,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
In the Land of Saints & Sinners,2023,"Action, Crime, Thriller",6.3,Robert Lorenz,"Kerry Condon, Desmond Eastwood, Conor MacNeill, Seamus O'Hara",13555,"In a remote Irish village, a widower is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried."
Where the Crawdads Sing,2023,"Drama, Mystery, Romance",7.2,Olivia Newman,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, David Strathairn",123825,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.
In a Violent Nature,2023,"Drama, Horror, Thriller",5.7,Chris Nash,"Ry Barrett, Andrea Pavlovic, Cameron Love, Reece Presley",246,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 60-year old crime, his body is resurrected and becomes hellbent on retrieving it."
Unsung Hero,2023,"Drama, Family",7.8,Richard L. Ramsey,"Joel Smallbone, Daisy Betts, Joel Smallbone, Kirrilee Berger, Jonathan Jackson",1654,"Based on a remarkable true story, a mum's faith stands against all odds and inspires her husband and children to hold on to theirs."
Rebel Moon - Part One: A Child of Fire,2023,"Action, Adventure, Drama",5.6,Zack Snyder,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman",118659,"When a peaceful settlement on the edge of a distant moon finds itself threatened by a tyrannical ruling force, a stranger living among its villagers becomes their best hope for survival."
Purple Hearts,2023,"Drama, Music, Romance",6.7,Elizabeth Allen Rosenbaum,"Sofia Carson, Nicholas Galitzine, Chosen Jacobs, John Harlan Kim",52977,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits, but when tragedy strikes, the line between real and pretend begins to blur."
Arthur the King,2023,"Adventure, Drama",7,Simon Cellan Jones,"Mark Wahlberg, Simu Liu, Juliet Rylance, Nathalie Emmanuel",11926,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
X,2023,"Horror, Mystery, Thriller",6.5,Ti West,"Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi",174768,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the crew find themselves fighting for their lives."
"Red, White & Royal Blue",2023,"Comedy, Romance",7,Matthew López,"Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman, Jemma Redgrave",49181,"When the feud between the son of the American President and Britain's prince threatens to drive a wedge in U.S./British relations, the two are forced into a staged truce that sparks something deeper."
The Shawshank Redemption,2023,Drama,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",2894940,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
Boy Kills World,2023,"Action, Crime, Thriller",6.7,Moritz Mohr,"Bill Skarsgård, Jessica Rothe, Michelle Dockery, Brett Gelman",3914,"A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death."
Twister,2023,"Action, Adventure, Thriller",6.5,Jan de Bont,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz",214473,Two storm chasers on the brink of divorce must work together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.
Madame Web,2023,"Action, Adventure, Sci-Fi",3.9,S.J. Clarkson,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor",58183,"Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women from a deadly adversary who wants them destroyed."
The Strangers: Chapter 1,2023,Horror,6.4,Renny Harlin,"Madelaine Petsch, Ryan Bown, Matus Lajcak, Olivia Kreutzova",91,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive."
Anatomie d'une chute,2023,"Crime, Drama, Thriller",7.7,Justine Triet,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz",126175,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.
Interstellar,2023,"Adventure, Drama, Sci-Fi",8.7,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",2107210,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Star Wars,2023,"Action, Adventure, Fantasy",8.6,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",1452280,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
Saltburn,2023,"Drama, Thriller",7,Emerald Fennell,"Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant",208410,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten."
Once Upon a Time in... Hollywood,2023,"Comedy, Drama",7.6,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch",850820,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Dark Waters,2023,"Biography, Drama, History",7.6,Todd Haynes,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman",103239,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
Land of Bad,2023,"Action, Thriller",6.5,William Eubank,"Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle",21139,A US Army special forces unit is ambushed during a mission to retrieve an intelligence asset and their only remaining hope lies with a remote Air Force drone operator assisting them through a brutal 48-hour battle for survival.
Wish,2023,"Animation, Adventure, Comedy",5.6,Chris Buck,"Fawn Veerasunthorn, Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral",35943,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.
The Equalizer 3,2023,"Action, Crime, Thriller",6.8,Antoine Fuqua,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman",118211,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia."
Force of Nature: The Dry 2,2023,"Crime, Mystery, Thriller",6.1,Robert Connolly,"Eric Bana, Anna Torv, Deborra-Lee Furness, Robin McLeavy",1522,Five women participate in a hiking retreat but only four come out the other side. Federal agents Aaron Falk and Carmen Cooper head into the mountains hoping to find their informant still alive.
Chief of Station,2023,"Action, Thriller",4.6,Jesse V. Johnson,"Aaron Eckhart, Olga Kurylenko, Alex Pettyfer, Chris Petrovski",1026,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew."
New Life,2023,"Horror, Thriller",5.5,John Rosman,"Sonya Walger, Hayley Erin, Tony Amendola, Jeb Berrier",1065,"A mysterious woman on the run, and the resourceful fixer assigned to bring her in. Their two unique stories inextricably link, as the stakes of the pursuit rise to apocalyptic proportions."
Perfect Days,2023,Drama,7.9,Wim Wenders,"Koji Yakusho, Tokio Emoto, Arisa Nakano, Miyako Tanaka",40551,"Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself."
The Lord of the Rings: The Fellowship of the Ring,2023,"Action, Adventure, Drama",8.9,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",2011074,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Love,2023,"Drama, Romance",6.1,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra",66903,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
Top Gun: Maverick,2023,"Action, Drama",8.2,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",700854,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
All of Us Strangers,2023,"Drama, Fantasy, Romance",7.7,Andrew Haigh,"Andrew Scott, Paul Mescal, Carter John Grout, Jamie Bell",47842,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.
I Saw the TV Glow,2023,"Drama, Horror",6.6,Jane Schoenbrun,"Justice Smith, Brigette Lundy-Paine, Ian Foreman, Helena Howard",933,"Two teenagers bond over their love of a supernatural TV show, but it is mysteriously cancelled."
Killers of the Flower Moon,2023,"Crime, Drama, History",7.6,Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons",242555,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
The First Omen,2023,Horror,6.8,Arkasha Stevenson,"Nell Tiger Free, Ralph Ineson, Sonia Braga, Tawfeek Barhom",13830,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
Gladiator,2023,"Action, Adventure, Drama",8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",1623724,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Vermines,2023,Horror,6.4,Sébastien Vanicek,"Théo Christine, Sofia Lesaffre, Jérôme Niel, Lisa Nyarko",4919,"Residents of a rundown French apartment building battle against an army of deadly, rapidly reproducing spiders."
Wonka,2023,"Adventure, Comedy, Family",7,Paul King,"Timothée Chalamet, Gustave Die, Murray McArthur, Paul G. Raymond",143411,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers."
Damsel,2023,"Action, Adventure, Fantasy",6.1,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter",83933,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
The Equalizer,2002,"Action, Crime, Thriller",7.2,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",421706,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.
Pulp Fiction,2002,"Crime, Drama",8.9,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",2224875,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
The Peanut Butter Falcon,2002,"Adventure, Comedy, Drama",7.6,Tyler Nilson,"Michael Schwartz, Zack Gottsagen, Ann Pierce, Dakota Johnson, Bruce Dern",104193,"Zak, a man with down syndrome, runs away from a residential nursing home to pursue his dream of becoming a wrestler. Later, he meets with an outlaw who becomes his friend and coach."
Inception,2002,"Action, Adventure, Sci-Fi",8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",2556132,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Dark Knight,2002,"Action, Crime, Drama",9,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",2876586,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Migration,2002,"Animation, Adventure, Comedy",6.7,Benjamin Renner,"Guylo Homsy, Kumail Nanjiani, Tresi Gazal, Elizabeth Banks, Caspar Jennings",25998,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.
Harry Potter and the Sorcerer's Stone,2002,"Adventure, Family, Fantasy",7.6,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris",857544,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
The Talented Mr. Ripley,2002,"Crime, Drama, Thriller",7.4,Anthony Minghella,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett",244908,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures."
The Black Phone,2002,"Horror, Mystery, Thriller",6.9,Scott Derrickson,"Mason Thames, Madeleine McGraw, Ethan Hawke, Jeremy Davies",196264,"After being abducted and locked in a basement, a boy starts receiving calls on a disconnected phone from the killer's previous victims."
Ghostbusters: Afterlife,2002,"Adventure, Comedy, Fantasy",7,Jason Reitman,"Carrie Coon, Paul Rudd, Finn Wolfhard, Mckenna Grace",219924,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
Ghostbusters,2002,"Action, Comedy, Fantasy",7.8,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",451499,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
Leave the World Behind,2002,"Drama, Mystery, Thriller",6.5,Sam Esmail,"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la",198090,"A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices, and two strangers appear at their door."
