Title,Year,Genre,Rating,Director,Cast,Votes,Description
Diary of a Wimpy Kid,2015,"Comedy, Drama, Family",6.2,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn",58227,"Greg Heffley is a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year."
The Lincoln Lawyer,2015,"Crime, Drama, Mystery",7.3,Brad Furman,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",254133,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.
Sex Drive,2015,"Comedy, Romance",6.5,Sean Anders,"Josh Zuckerman, Clark Duke, Amanda Crew, James Marsden",91802,A high-school senior drives cross-country with his best friends to hook up with a babe he met online.
Jeepers Creepers,2015,"Horror, Mystery",6.2,Victor Salva,"Gina Philips, Justin Long, Jonathan Breck, Patricia Belcher",142830,A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.
Riddick,2015,"Action, Adventure, Sci-Fi",6.4,David Twohy,"Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà",178226,"Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past."
Army of Thieves,2015,"Action, Comedy, Crime",6.4,Matthias Schweighöfer,"Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin",89065,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse."
"The Adventures of Priscilla, Queen of the Desert",2015,"Comedy, Music",7.5,Stephan Elliott,"Hugo Weaving, Guy Pearce, Terence Stamp, Rebel Penfold-Russell",55282,Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.
Mission: Impossible II,2015,"Action, Adventure, Thriller",6.1,John Woo,"Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames",378255,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera""."
The Last House on the Left,2015,"Horror, Thriller",6.5,Dennis Iliadis,"Garret Dillahunt, Monica Potter, Tony Goldwyn, Michael Bowen",100575,"After kidnapping and brutally assaulting two young women, a gang unknowingly finds refuge at a vacation home belonging to the parents of one of the victims: a mother and father who devise an increasingly gruesome series of revenge tactics."
Finch,2015,"Adventure, Drama, Sci-Fi",6.9,Miguel Sapochnik,"Tom Hanks, Caleb Landry Jones, Marie Wagenman, Lora Martinez-Cunningham",97450,"On a post-apocalyptic Earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human."
